metin,turu,kategori
lafını yemek,Deyim,eleştiri
lafla peynir gemisi yürümez,Atasözü,diğer
lafta kalmak,Deyim,diğer
laftan anlamak,Deyim,diğer
laga luga etmek veya yapmak,Deyim,eleştiri
lağımla atmak,Deyim,diğer
lahavle çekmek okumak,Deyim,diğer
lakap takmak,Deyim,diğer
lakayıt kalmak,Deyim,eleştiri
lakırtı ağzından dökülmek,Deyim,diğer
lakırtı çıkarmak,Deyim,eleştiri
lakırtı etmek,Deyim,diğer
lakırtı taşımak,Deyim,eleştiri
lakırtı yetiştirmek,Deyim,eleştiri
lakırtısı ağzında kalmak,Deyim,diğer
lakırtısı mı olur?,Deyim,diğer
lakırtısını etmek,Deyim,diğer
lakırtıya boğmak,Deyim,eleştiri
lakırtıya tutmak,Deyim,eleştiri
lakırtıyı ağzına tıkamak,Deyim,diğer
lakırtıyı ezip büzmek,Deyim,eleştiri
lakırtıyı kesmek,Deyim,eleştiri
lal etmek,Deyim,diğer
lala paşa eğlendirmek,Deyim,diğer
lâm elif çevirmek çizmek,Deyim,diğer
lamba açmak,Deyim,diğer
lambayı açmak,Deyim,diğer
lâmı cimi yok,Deyim,eleştiri
lanet okumak,Deyim,diğer
lapa gibi,Deyim,diğer
larp diye,Deyim,diğer
lastik gibi,Deyim,diğer
latife götürmek,Deyim,diğer
latife latif gerek,Atasözü,övgü
lava etmek,Deyim,diğer
layığını bulmak,Deyim,diğer
layık görmek,Deyim,diğer
lazım gelmek olmak,Deyim,diğer
leb demeden leblebiyi anlamak,Deyim,övgü
leblebiden nem kapmak,Deyim,diğer
leke getirmek,Deyim,eleştiri
leke sürmek,Deyim,eleştiri
leş gibi,Deyim,diğer
leş gibi sarhoş,Deyim,eleştiri
leş gibi serilmek,Deyim,diğer
leyleği havada görmek,Deyim,diğer
"leyleği kuştan mı sayarsın, yazın gelir, kışın gider",Atasözü,eleştiri
leyleğin attığı yavru,Deyim,diğer
leyleğin ömrü günü laklakla geçer,Atasözü,eleştiri
leylek gibi,Deyim,diğer
lezzet almak,Deyim,diğer
lezzetini çıkarmak,Deyim,diğer
ligden düşmek,Deyim,diğer
lige çıkmak,Deyim,diğer
limon gibi,Deyim,diğer
limon kabuğu gibi,Deyim,diğer
limonata gibi,Deyim,diğer
lisana gelmek,Deyim,diğer
liyakat göstermek,Deyim,diğer
lodosa çevirmek dönmek,Deyim,diğer
lodosun gözü yaşlı olur,Atasözü,diğer
lokma bile çiğnenmeden yutulmaz,Atasözü,diğer
lokma dökmek,Deyim,diğer
lokma etmek,Deyim,diğer
lokma lokması ağzında büyümek,Deyim,diğer
lort gibi,Deyim,övgü
lök gibi,Deyim,eleştiri
lügat paralamak,Deyim,diğer
lüzum görmemek,Deyim,diğer
lüzumsuz görmek,Deyim,diğer
maaş bağlamak,Deyim,diğer
maaşa geçmek,Deyim,diğer
macera aramak,Deyim,eleştiri
maceraya atılmak,Deyim,diğer
maç satmak,Deyim,eleştiri
maça beyi gibi kurulmak,Deyim,eleştiri
"madalyonun ters tarafı tersi, arka yüzü",Deyim,diğer
mağdur etmek,Deyim,eleştiri
mağdur olmak,Deyim,diğer
mahal kalmamak,Deyim,diğer
mahal yok,Deyim,diğer
mahalle kahvesi gibi,Deyim,eleştiri
mahalleyi ayağa kaldırmak,Deyim,eleştiri
maharet kazanmak,Deyim,övgü
mahcup kalmak,Deyim,diğer
mahkeme açmak,Deyim,diğer
mahkeme kadıya mülk değil,Atasözü,diğer
mahkemeye düşmek,Deyim,diğer
mahkemeye vermek,Deyim,diğer
mahsur kalmak,Deyim,diğer
mahşer gibi,Deyim,eleştiri
mahzur doğurmak,Deyim,diğer
mahzur görmek,Deyim,diğer
makara çekmek,Deyim,diğer
makara gibi,Deyim,diğer
"makaraları koyuvermek zapt edememek, salıvermek",Deyim,diğer
makas almak,Deyim,diğer
makas değiştirmek,Deyim,diğer
makas vurmak,Deyim,diğer
makbule geçmek,Deyim,övgü
makine çekmek,Deyim,diğer
makine gibi,Deyim,övgü
makine gibi adam,Deyim,övgü
makineli tüfek gibi,Deyim,eleştiri
makineyi bozmak,Deyim,eleştiri
maksat gütmek,Deyim,eleştiri
maksat hasıl olmak,Deyim,diğer
maksat muhabbet olsun,Atasözü,diğer
maktul düşmek olmak,Deyim,diğer
"mal adama hem dost, hem düşmandır",Atasözü,eleştiri
mal bulmuş mağribî gibi,Deyim,diğer
"mal canı kazanmaz, can malı kazanır",Atasözü,eleştiri
mal canın yongasıdır,Atasözü,diğer
mal kaldırmak,Deyim,diğer
mal kapatmak,Deyim,diğer
mal meydanda,Deyim,diğer
mal yapmak,Deyim,diğer
malı götürmek,Deyim,diğer
malı ongun olanın adı angın olur,Atasözü,diğer
"malını yemesini bilmeyen zengin, her gün züğürttür",Atasözü,eleştiri
malum değil,Deyim,diğer
malum ya!,Deyim,diğer
malumu ilam etmek,Deyim,diğer
mana vermek,Deyim,diğer
manasına gelmek,Deyim,diğer
manaya gelmek,Deyim,diğer
manda gibi,Deyim,diğer
manda gibi yayılmak,Deyim,diğer
manda gibi yemek,Deyim,eleştiri
mandepsiye basmak düşmek,Deyim,diğer
maneviyatı bozulmak,Deyim,diğer
maneviyatını kırmak,Deyim,diğer
manevra yapmak,Deyim,diğer
mangalda kül bırakmamak,Deyim,diğer
mâni düzmek yakmak,Deyim,diğer
manken gibi,Deyim,övgü
mantar atmak,Deyim,eleştiri
mantar gibi yerden bitmek,Deyim,diğer
mantara basmak,Deyim,diğer
manzara koymak,Deyim,diğer
mapusa düşmek,Deyim,diğer
mapushaneye düşmek,Deyim,diğer
maraza aramak,Deyim,eleştiri
maraza çıkarmak,Deyim,eleştiri
marifet göstermek,Deyim,övgü
marmara çırası gibi yakmak yanmak,Deyim,diğer
mars olmak,Deyim,diğer
marsık gibi,Deyim,diğer
mart ayı dert ayı,Atasözü,diğer
mart çıkmadıkça dert çıkmaz,Atasözü,diğer
"mart dokuzunda çıra yak, bağ buda",Atasözü,diğer
mart havası gibi,Deyim,diğer
"mart içeri, pire dışarı",Deyim,diğer
"mart kapıdan baktırır, kazma kürek yaktırır",Atasözü,diğer
mart kedisi gibi,Deyim,diğer
"mart kuruluk, nisan yağmurluk",Atasözü,diğer
martaval atmak okumak,Deyim,diğer
"martta tezek kuruya, nisanda seller yürüye",Atasözü,diğer
"martta yağmaz, nisanda dinmezse sabanlar altın olur",Atasözü,diğer
maruz bırakmak,Deyim,diğer
maruz bulunmak olmak,Deyim,diğer
maruz kalmak,Deyim,diğer
masal gibi,Deyim,övgü
masal okumak anlatmak,Deyim,eleştiri
masaya oturmak,Deyim,diğer
...-masıyla ...-mesi bir olmak,Deyim,diğer
maskara etmek,Deyim,eleştiri
maskara olmak,Deyim,eleştiri
maskesi düşmek,Deyim,diğer
maskesini atmak,Deyim,diğer
maskesini düşürmek kaldırmak,Deyim,diğer
masraf etmek,Deyim,diğer
masraf görmek,Deyim,diğer
masraf kapısı açmak,Deyim,diğer
masrafa girmek,Deyim,eleştiri
masrafı çekmek,Deyim,diğer
masraftan çıkmak,Deyim,diğer
mastor olmak,Deyim,eleştiri
maşa gibi,Deyim,eleştiri
maşa kadar,Deyim,diğer
maşa varken elini ateşe sokma,Atasözü,diğer
maşa varken elini yakmak,Deyim,eleştiri
maşalık etmek,Deyim,eleştiri
mat olmak,Deyim,diğer
matem tutmak,Deyim,diğer
matiz olmak,Deyim,eleştiri
matrağa almak,Deyim,eleştiri
matrak geçmek,Deyim,eleştiri
maval okumak,Deyim,eleştiri
mavi boncuk dağıtmak,Deyim,eleştiri
mavra atmak sıkmak,Deyim,eleştiri
maya çalmak,Deyim,diğer
mayasında olmak,Deyim,diğer
mayasız yoğurt tutmaz,Atasözü,diğer
maydanoz olmak,Deyim,eleştiri
mayın dökmek döşemek,Deyim,diğer
maymun gibi,Deyim,eleştiri
maymun gözünü açtı,Deyim,eleştiri
maymuna dönmek,Deyim,diğer
mayna etmek,Deyim,diğer
maytap geçmek,Deyim,eleştiri
maziye karışmak,Deyim,diğer
"mazlumun ahı, indirir şahı",Atasözü,diğer
mazlumun ahı yerde kalmaz,Atasözü,diğer
mecali mecal kalmamak,Deyim,diğer
mecalsiz düşmek,Deyim,diğer
mecbur kalmak olmak,Deyim,diğer
meclis kurmak,Deyim,diğer
mecrası değişmek,Deyim,diğer
medar olmak,Deyim,övgü
mehil vermek,Deyim,diğer
mehtaba çıkmak,Deyim,diğer
mekân tutmak,Deyim,diğer
mekik gibi,Deyim,diğer
mektep görmemiş,Deyim,eleştiri
mektep medrese görmüş,Deyim,diğerövgü
mektepten çıkan eşek marsıvan'dan çıkmaz,Atasözü,eleştiri
mektubu dışından okumak,Deyim,diğer
mektup atmak,Deyim,diğer
meme vermek,Deyim,diğer
meme yapmak,Deyim,diğer
memede olmak,Deyim,diğer
memeden kesmek,Deyim,diğer
mendil atmak,Deyim,diğer
mendil kadar,Deyim,diğer
mendil sallamak,Deyim,diğer
menfaat gütmek,Deyim,diğer
menopoza girmek,Deyim,diğer
menzil atmak,Deyim,diğer
menzil beygiri gibi koşmak,Deyim,övgü
menzil dikmek,Deyim,diğer
merak getirmek,Deyim,diğer
merak insanı mezara sokar,Atasözü,eleştiri
meraka sokmak,Deyim,diğer
merakına dokunmak,Deyim,diğer
merakından çatlamak,Deyim,eleştiri
merakını mucip olmak,Deyim,diğer
merakını uyandırmak,Deyim,diğer
merakta bırakmak,Deyim,diğer
merakta kalmak,Deyim,diğer
meraktan çatlamak,Deyim,diğer
meraktan ölmek,Deyim,eleştiri
meram etmek,Deyim,diğer
meram meramını anlatmak,Deyim,diğer
meramın elinden bir şey kurtulmaz,Atasözü,diğer
mercek altına almak,Deyim,diğer
mercimeği fırına vermek,Deyim,diğer
mercimek kadar,Deyim,diğer
merdiven ayak ayak basamak basamak çıkılır,Atasözü,diğer
merdiven dayamak,Deyim,diğer
merhaba çakmak,Deyim,diğer
merhaba etmek,Deyim,diğer
merhamet duymak,Deyim,diğer
merhamete gelmek,Deyim,diğer
merhem olmak,Deyim,diğer
mermer gibi,Deyim,diğer
mesafe almak,Deyim,diğer
mesafe bırakmak koymak,Deyim,eleştiri
mesafe katetmek,Deyim,diğer
mesai yapmak,Deyim,diğer
mesaiye kalmak,Deyim,diğer
mesaj bırakmak,Deyim,diğer
mesaj vermek,Deyim,diğer
mescite gerek olan meyhaneye haramdır,Atasözü,eleştiri
mesele çıkarmak,Deyim,diğer
mesele yok!,Deyim,diğer
...-mesi an meselesi,Deyim,diğer
...-mesi gün meselesi,Deyim,diğer
meskûn kılmak,Deyim,diğer
meskût geçmek,Deyim,diğer
meskût kalmak,Deyim,diğer
mesnetsiz atmak,Deyim,diğer
mesul tutmak,Deyim,diğer
mesuliyet almak,Deyim,övgü
meşakkat çekmek,Deyim,diğer
meşakkate katlanmak,Deyim,övgü
meşale çekmek,Deyim,diğer
meşk almak,Deyim,diğer
meşk vermek,Deyim,diğer
meşru sayılmak,Deyim,diğer
meteliğe kurşun atmak,Deyim,diğer
methiye düzmek,Deyim,diğer
metres tutmak,Deyim,diğer
mevkisi olmak,Deyim,diğer
mevlasını bulmak,Deyim,diğer
mevzuya girmek,Deyim,diğer
meyanesi gelmek,Deyim,diğer
meydan açmak,Deyim,diğer
meydan almak,Deyim,diğer
meydan bırakmamak,Deyim,diğer
meydan birine veya bir şeye kalmamak,Deyim,diğer
meydan bulamamak,Deyim,diğer
meydan okumak,Deyim,diğer
meydan vermemek,Deyim,övgü
meydana atmak,Deyim,diğer
meydana çıkarmak,Deyim,diğer
meydana çıkmak,Deyim,diğer
meydana dökmek,Deyim,diğer
meydana düşmek,Deyim,diğer
meydana gelmek,Deyim,diğer
meydana getirmek,Deyim,diğer
meydana koymak,Deyim,diğer
meydana vurmak,Deyim,diğer
meydanda bırakmak,Deyim,diğer
meydanı boş bulmak,Deyim,eleştiri
"meyhaneciden şahit istemişler, bozacıyı göstermiş",Atasözü,eleştiri
meyhanecinin yüzünü bayram topu güldürür,Atasözü,diğer
meyil vermek,Deyim,diğer
meyve almak,Deyim,diğer
meyve vermek,Deyim,diğer
meyveli ağacı taşlarlar,Atasözü,eleştiri
meyveye durmak,Deyim,diğer
mezada çıkarmak koymak,Deyim,diğer
mezardan çıkarmak,Deyim,diğer
mezarını kazmak,Deyim,diğer
mıncığı çıkmak,Deyim,diğer
mır mır etmek,Deyim,diğer
mırın kırın etmek,Deyim,diğer
mısır püskülü gibi,Deyim,diğer
mısır'daki sağır sultan bile duydu,Atasözü,diğer
"mısıra 'yağmur geliyor' demişler, 'çapan birlik mi?' demiş",Atasözü,diğer
mışıl mışıl uyumak,Deyim,diğer
mızrak çuvala girmez sığmaz,Atasözü,diğer
miadı dolmak,Deyim,diğer
miadı gelmek,Deyim,diğer
mide bulandırmak,Deyim,diğer
mide fesadına uğramak,Deyim,diğer
"midesi almamak kaldırmamak, kabul etmemek, götürmemek",Deyim,diğer
midesi bulanmak,Deyim,diğer
"midesi ekşimek kaynamak, yanmak",Deyim,diğer
midesi ezilmek kazınmak,Deyim,diğer
mideye indirmek,Deyim,diğer
mideye oturmak,Deyim,diğer
mideyi bastırmak,Deyim,diğer
mihenge vurmak,Deyim,diğer
mikrofona koymak,Deyim,diğer
mikroskop altına koymak almak,Deyim,diğer
mil yapmak,Deyim,diğer
milim oynamamak,Deyim,diğer
milim şaşmamak,Deyim,diğer
milletin ağzı torba değil ki büzesin dikesin,Atasözü,diğer
mim koymak yapıştırmak,Deyim,diğer
"minare de doğru, ama içi eğri",Atasözü,eleştiri
minare gibi,Deyim,diğer
minareyi çalan kılıfını hazırlar,Atasözü,diğer
minareyi yaptırmayan yerden bitmiş sanır bitti beller,Atasözü,diğer
minder çürütmek,Deyim,eleştiri
minderden kaçmak,Deyim,eleştiri
minnet etmemek,Deyim,övgü
mirasa konmak,Deyim,diğer
"mirî malı balık kılçığıdır, yutulmaz",Atasözü,diğer
misafir gibi oturmak,Deyim,eleştiri
misafir kısmeti ile gelir,Atasözü,diğer
"misafir misafiri dilenci dilenciyi istemez sevmez, ev sahibi ikisini de",Atasözü,diğer
"misafir on kısmetle gelir, birini yer dokuzunu bırakır",Atasözü,diğer
misafir umduğunu değil bulduğunu yer,Atasözü,diğer
misafir üç gün misafirdir,Atasözü,eleştiri
misafirin umduğu ev sahibine iki öğün olur,Atasözü,diğer
misafirlik üç gündür,Atasözü,diğer
misal göstermek,Deyim,diğer
misk gibi,Deyim,övgü
misli menendi yok,Deyim,diğer
mitralyöz gibi,Deyim,eleştiri
miyancının kesesi bol olur,Atasözü,diğer
modası geçmek,Deyim,diğer
model çıkarmak,Deyim,diğer
mola almak,Deyim,diğer
mola vermek,Deyim,diğer
moral bulmak,Deyim,diğer
moral vermek,Deyim,diğer
morali bozulmak,Deyim,diğer
moratoryuma gitmek,Deyim,diğer
morga kaldırmak,Deyim,diğer
mortoyu çekmek,Deyim,diğer
mosmor kesilmek olmak,Deyim,diğer
mostra olmak,Deyim,diğer
motoru bozmak,Deyim,diğer
muaf tutmak,Deyim,diğer
muafiyet tanımak,Deyim,diğer
muamele görmek,Deyim,diğer
muamma asmak,Deyim,diğer
muammer olmak,Deyim,diğer
muaşakada olmak,Deyim,diğer
mucize göstermek,Deyim,diğer
muhabbet beslemek,Deyim,diğer
muhacir gitmek,Deyim,diğer
muhafaza altına almak,Deyim,diğer
muhakeme yürütmek,Deyim,diğer
muhalefet etmek,Deyim,diğer
muhasara altına almak,Deyim,diğer
muhayyer bırakmak,Deyim,diğer
muhit edinmek,Deyim,diğer
mukabele okumak,Deyim,diğer
mukabelede bulunmak,Deyim,diğer
mukarrer bulunmak,Deyim,diğer
mukavemet etmek göstermek,Deyim,diğer
mukavemeti kırılmak,Deyim,diğer
mum dibine ışık vermez,Atasözü,eleştiri
mum etmek,Deyim,diğer
mum gibi,Deyim,övgü
mum kesilmek,Deyim,diğer
mum olmak,Deyim,diğer
mum yakmak,Deyim,diğer
muma döndürmek çevirmek,Deyim,övgü
mumla aramak,Deyim,diğer
mumya gibi,Deyim,diğer
murada muradına ermek,Deyim,sabır
muradı gözünde kalmak,Deyim,diğer
murat almak,Deyim,sabır
murdar gitmek,Deyim,sabır
musallat olmak,Deyim,eleştiri
muşamba gibi,Deyim,diğer
muşmula gibi,Deyim,eleştiri
mutabık kalmak,Deyim,diğer
muvafık bulmak,Deyim,diğer
mübah görmek saymak,Deyim,diğer
mücadele vermek,Deyim,diğer
müflis bezirgân eski defterleri karıştırır,Atasözü,övgü
müft olsun da zift olsun,Atasözü,eleştiri
mühür basmak,Deyim,diğer
mühür kimde ise süleyman odur,Atasözü,diğer
müjde koşturmak,Deyim,diğer
müjde vermek götürmek,Deyim,diğer
mülakat vermek,Deyim,diğer
mümkün görünmek,Deyim,diğer
mümkün olmak,Deyim,diğer
münakaşa götürmemek,Deyim,diğer
münasebet almak,Deyim,diğer
münasebet düşmek,Deyim,diğer
münasebet kurmak,Deyim,diğer
münasebete girmek,Deyim,diğer
münasebeti düşmek,Deyim,diğer
münasebetini getirmek,Deyim,diğer
münasip bulmak,Deyim,diğer
münasip düşmek,Deyim,diğer
münasip görmek,Deyim,diğer
müracaatta bulunmak,Deyim,diğer
mürekkebi kurumadan bozmak,Deyim,eleştiri
mürekkep yalamak,Deyim,övgü
mürekkep yalamış,Deyim,diğer
mürüvvetini görmek,Deyim,diğer
müsaade etmek buyurmak,Deyim,diğer
müsabakaya girmek,Deyim,diğer
müsadere etmek,Deyim,diğer
müslüman mahallesinde salyangoz satmak,Deyim,diğer
müstahak olmak,Deyim,diğer
müşahede altına almak,Deyim,diğer
müşkülat çekmek,Deyim,sabır
mütalaa yürütmek,Deyim,diğer
mütalaada bulunmak,Deyim,diğer
mütekabiliyet esası üzerine,Deyim,diğer
müzevirlik etmek,Deyim,eleştiri
nabız almak,Deyim,diğer
nabız yoklamak,Deyim,diğer
nabzı atmak,Deyim,diğer
nabzı durmak,Deyim,diğer
nabzını saymak,Deyim,diğer
nabzını tutmak,Deyim,diğer
nabzını yoklamak,Deyim,diğer
naçar kalmak,Deyim,diğer
nadasa bırakmak yatırmak,Deyim,diğer
nafaka bağlanmak,Deyim,diğer
nağme yapmak,Deyim,diğer
nal deyip mıh dememek,Deyim,diğer
nal toplamak,Deyim,diğer
nalıncı keseri gibi kendine yontmak,Deyim,diğer
nalları dikmek,Deyim,diğer
nam almak,Deyim,diğer
nam kazanmak,Deyim,diğer
nam salmak,Deyim,diğer
nam vermek,Deyim,diğer
namaza durmak,Deyim,diğer
namaza meyli olmayanın kulağı ezanda olmaz,Atasözü,eleştiri
namazı kılınmak,Deyim,diğer
namazında niyazında,Deyim,diğer
name okumak,Deyim,diğer
namerde muhtaç bırakmak,Deyim,diğer
namerde muhtaç olmak,Deyim,diğer
namı nişanı kalmamak,Deyim,eleştiri
namusu iki paralık olmak,Deyim,eleştiri
namusu temizlenmek,Deyim,övgü
namusuna dokunmak,Deyim,eleştiri
namusuna sinek kondurmamak,Deyim,övgü
namusunu temizlemek,Deyim,diğer
namzet göstermek,Deyim,diğer
nane yemek,Deyim,eleştiri
nanik yapmak,Deyim,eleştiri
nankörlük görmek,Deyim,diğer
nara atmak basmak,Deyim,eleştiri
narh koymak,Deyim,diğer
nârına nâra yanmak,Deyim,diğer
nasıl ki,Deyim,diğer
nasıl olmuşsa,Deyim,diğer
nasıl olsa,Deyim,diğer
nasır bağlamak tutmak,Deyim,eleştiri
nasırına basmak,Deyim,diğer
nasihat istersen tembele iş buyur,Atasözü,diğer
nasihatte bulunmak,Deyim,eleştiri
nasip almak,Deyim,diğer
"nato kafa, nato mermer",Deyim,eleştiri
nazar değmek,Deyim,diğer
nazara gelmek,Deyim,diğer
nazarı değmek,Deyim,diğer
nazarıdikkatini çekmek,Deyim,diğer
nazarıitibara almak,Deyim,diğer
nazına katlanmak,Deyim,diğer
nazire yapmak,Deyim,diğer
ne âlem,Deyim,diğer
ne âlemde?,Deyim,diğer
ne alıp veremiyor?,Deyim,diğer
ne altını bırakmak ne üstünü,Deyim,diğer
ne arar onda ... ne gezer,Deyim,diğer
ne biçim?,Deyim,diğer
ne buyrulur?,Deyim,diğer
ne çare,Deyim,diğer
ne çıkar,Deyim,diğer
"ne çiçektir, biliriz",Deyim,diğer
"ne dağda bağım var, ne çakaldan davam",Atasözü,diğer
ne dedim de,Deyim,diğer
ne demek?,Deyim,diğer
ne demek olsun,Deyim,diğer
ne denir dersin,Deyim,diğer
ne dese beğenirsin?,Deyim,diğer
ne diye?,Deyim,diğer
"ne doğrarsan aşına, o çıkar kaşığına",Atasözü,eleştiri
ne ekersen onu biçersin,Atasözü,diğer
ne fayda,Deyim,diğer
ne gam,Deyim,diğer
ne gezer,Deyim,diğer
ne gibi?,Deyim,diğer
ne güne duruyor?,Deyim,diğer
ne günlere kaldık!,Deyim,diğer
ne haber?,Deyim,diğer
ne hacet,Deyim,diğer
ne haddine!,Deyim,eleştiri
ne hâlde?,Deyim,diğer
ne hâli varsa görsün,Deyim,eleştiri
ne hesaba gelmek ne de kantara,Deyim,diğer
ne hikmetse hikmettir,Deyim,diğer
ne idiği belirsiz,Deyim,eleştiri
ne istediğini bilmek,Deyim,övgü
ne iyi!,Deyim,diğer
ne kadar,Deyim,diğer
ne kadar olsa,Deyim,diğer
ne kadar varsa,Deyim,diğer
"ne karanlıkta yat, ne kara düş gör",Atasözü,diğer
ne lazım,Deyim,diğer
ne mal olduğunu bilmek anlamak,Deyim,diğer
ne mene,Deyim,diğer
ne menem,Deyim,diğer
ne münasebet!,Deyim,diğer
ne o?,Deyim,diğer
ne od var ne ocak,Deyim,diğer
ne olduğunu bilememek,Deyim,diğer
ne oldum delisi olmak,Deyim,diğer
"ne oldum dememeli, ne olacağım demeli",Atasözü,eleştiri
ne olur ne olmaz,Deyim,diğer
"ne olur olursun, olursunuz",Deyim,diğer
